Alliance,Party,Contested,Won,Vote %,Contested Voteshare,Year
NDA,Bharatiya Janta Party,433,116,18.8,23.4,2009
NDA,Janata Dal (United),31,20,1.4,30.6,2009
NDA,Shiv Sena,24,11,1.5,34.2,2009
NDA,Rashtriya Lok Dal,7,5,0.4,37.8,2009
NDA,Shiromani Akali Dal,10,4,1,43.4,2009
NDA,Jharkhand Mukti Morcha,1,1,0,25.8,2009
NDA,Asom Gana Parisad,6,1,0.4,33,2009
NDA,Nagaland Peoples Front,1,1,0.2,70,2009
NDA,Rashtrawadi Sena,1,0,0,7.8,2009
NDA,Indian National Lok Dal,5,0,0.3,29.3,2009
NDA,Independents,1,0,0.1,43.6,2009
UPA,Indian National Congress,440,206,28.6,35.8,2009
UPA,All India Trinamool Congress,27,19,3.2,47.6,2009
UPA,Dravida Munetra Kazhagam,22,18,1.8,44.9,2009
UPA,Nationalist Congress Party,23,8,1.8,41.6,2009
UPA,Jammu & Kashmir National Conference,3,3,0.1,47.8,2009
UPA,Muslim League Kerala State Committee,2,2,0.2,52.4,2009
UPA,Jharkhand Mukti Morcha,6,2,0.2,22.2,2009
UPA,Viduthalai Chiruthaigal Katchi,2,1,0.2,44,2009
UPA,Bodaland Peoples Front,1,1,0.1,48.8,2009
UPA,Kerala Congress(M),1,1,0.1,50.1,2009
UPA,Independents,1,1,0.1,48.7,2009
UPA,Republican Party Of India (A),2,0,0.1,19.6,2009
UPA,Republican Party Of India,2,0,0.1,19.4,2009
THIRD FRONT,Communist Party Of India (MARXIST),82,16,5.3,31.8,2009
THIRD FRONT,Biju Janata Dal,18,14,1.6,43.7,2009
THIRD FRONT,All India Anna Dravida Munnetra Kazhagam,23,9,1.7,39.1,2009
THIRD FRONT,Telugu Desam,30,6,2.5,34.2,2009
THIRD FRONT,Communist Party Of India,54,4,1.4,14.6,2009
THIRD FRONT,Janata Dal (Secular),21,3,0.8,18.1,2009
THIRD FRONT,Revolutionary Socialist Party,11,2,0.4,17,2009
THIRD FRONT,All India Forward Bloc,9,2,0.3,20,2009
THIRD FRONT,Telangana Rashtra Samithi,8,2,0.6,32.5,2009
THIRD FRONT,Marumalarchi Dravida Munnetra Kazhagam,4,1,0.3,36.5,2009
THIRD FRONT,Nationalist Congress Party,1,0,0.1,30.8,2009
THIRD FRONT,Kerala Congress,1,0,0.1,42.5,2009
THIRD FRONT,Pattali Makkal Katchi,6,0,0.4,34.8,2009
