Alliance,Party,Contested,Won,Vote %,Contested Voteshare,Year
NDA,Bharatiya Janta Party,428,282,31.3,40,2014
NDA,Shiv Sena,20,18,1.8,50.8,2014
NDA,Telugu Desam,30,16,2.6,40.5,2014
NDA,Lok Jan Shakti Party,7,6,0.4,37.7,2014
NDA,Shiromani Akali Dal,10,4,0.7,33.7,2014
NDA,Rashtriya Lok Samta Party,3,3,0.2,43.3,2014
NDA,Apna Dal,2,2,0.1,43,2014
NDA,Swabhimani Paksha,2,1,0.2,49,2014
NDA,Pattali Makkal Katchi,8,1,0.3,21.5,2014
NDA,All India N.R. Congress,1,1,0,35.6,2014
NDA,Naga Peoples Front,1,1,0.1,68.8,2014
NDA,National People's Party,7,1,0.1,9,2014
NDA,Independents,3,0,0.1,21.5,2014
NDA,Revolutionary Socialist Party Of Kerala (Bolshevik),1,0,0,4.4,2014
NDA,Desiya Murpokku Dravida Kazhagam,14,0,0.4,14.6,2014
NDA,Republican Party Of India (A),2,0,0,4,2014
NDA,Marumalarchi Dravida Munnetra Kazhagam,7,0,0.3,19.3,2014
NDA,Rashtriya Samaj Paksha,1,0,0.1,42.9,2014
NDA,Haryana Janhit Congress (BL),2,0,0.1,29,2014
UPA,Indian National Congress,464,44,19.5,22.6,2014
UPA,Nationalist Congress Party,23,5,1.5,35.8,2014
UPA,Rashtriya Janata Dal,28,4,1.4,30.2,2014
UPA,Jharkhand Mukti Morcha,4,2,0.2,31.6,2014
UPA,Indian Union Muslim League,2,2,0.1,48.1,2014
UPA,Revolutionary Socialist Party,1,1,0.1,46.9,2014
UPA,Kerala Congress(M),1,1,0.1,51.9,2014
UPA,Communist Party Of India,1,0,0,15.9,2014
UPA,Bahujan Vikas Aaghadi,1,0,0.1,30.3,2014
UPA,Bodaland Peoples Front,1,0,0,20.2,2014
UPA,Rashtriya Lok Dal,8,0,0.1,8.3,2014
UPA,Jammu & Kashmir National Conference,3,0,0.1,34.9,2014
UPA,Mahan Dal,3,0,0,0.8,2014
UPA,Socialist Janta (DEMOCRATIC),1,0,0.1,34.2,2014
