Alliance,Party,Contested,Won,Vote %,Contested Voteshare,Year
NDA,Bharatiya Janta Party,339,182,23.8,39.5,1999
NDA,Telugu Desam,34,29,3.6,50,1999
NDA,Janata Dal (United),41,21,3,37.6,1999
NDA,Shiv Sena,23,15,1.5,36.4,1999
NDA,Dravida Munetra Kazhagam,19,12,1.7,47.6,1999
NDA,Biju Janata Dal,12,10,1.2,58.3,1999
NDA,All India Trinamool Congress,29,8,2.6,39,1999
NDA,Pattali Makkal Katchi,8,5,0.7,45.7,1999
NDA,Indian National Lok Dal,5,5,0.5,59.5,1999
NDA,Marumalarchi Dravida Munnetra Kazhagam,5,4,0.4,45.5,1999
NDA,Shiromani Akali Dal,9,2,0.7,39.7,1999
NDA,Akhil Bhartiya Lok Tantrik Congress,4,2,0.2,32.9,1999
NDA,Independents,1,1,0.1,57.9,1999
NDA,M.G.R.Anna D.M.Kazhagam,1,1,0.1,51.5,1999
NDA,Himachal Vikash Congress,1,1,0.1,52.8,1999
NDA,Sikkim Democratic Front,1,1,0,52.6,1999
NDA,Democratic Bahujan Samaj Morcha,1,0,0.1,38.6,1999
NDA,Tamizhaga Rajiv Congress,1,0,0.1,46.3,1999
NDA,Bihar People's Party,2,0,0.2,42.6,1999
NDA,Arunachal Congress,1,0,0,30.1,1999
UPA,Indian National Congress,451,114,28.3,34.1,1999
UPA,All India Anna Dravida Munnetra Kazhagam,24,10,1.9,43,1999
UPA,Rashtriya Janata Dal,35,7,2.8,41.8,1999
UPA,Rashtriya Lok Dal,7,2,0.3,23.6,1999
UPA,Muslim League Kerala State Committee,2,2,0.2,54,1999
UPA,Bharipa Bahujan Mahasangh,4,1,0.2,30.7,1999
UPA,Kerala Congress(M),1,1,0.1,51.9,1999
UPA,Communist Party Of India,4,1,0.4,44.8,1999
UPA,Communist Party Of India (MARXIST),4,1,0.2,28.4,1999
UPA,Republican Party Of India,3,0,0.1,24.1,1999
UPA,Marxist Coordination,1,0,0.1,46.2,1999
UPA,All India Trinamool Congress,1,0,0,26.9,1999
THIRD FRONT,Communist Party Of India (MARXIST),68,32,5.2,35.5,1999
THIRD FRONT,Communist Party Of India,50,3,1.1,12.4,1999
THIRD FRONT,Revolutionary Socialist Party,4,3,0.4,45.1,1999
THIRD FRONT,All India Forward Bloc,5,2,0.3,32.6,1999
THIRD FRONT,Kerala Congress,1,1,0.1,47.2,1999
THIRD FRONT,Janata Dal (Secular),1,0,0.1,40.5,1999
THIRD FRONT,Independents,2,0,0.2,38.9,1999
THIRD FRONT,Asom Gana Parisad,8,0,0.3,20.4,1999
